full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,college
Ignas Brazdeikis,70,#17,New York Knicks,F,01/08/99,6-6 / 1.98,216 lbs. / 98 kg.,$898310,Canada,2019,2,Michigan
Deonte Burton,70,#30,Oklahoma City Thunder,G,06/26/91,6-4 / 1.93,240 lbs. / 108.9 kg.,$1416852,USA,2014,Undrafted,Iowa State
Justin James,70,#10,Sacramento Kings,G,01/24/97,6-7 / 2.01,190 lbs. / 86.2 kg.,$898310,USA,2019,2,Wyoming
Henry Ellenson,69,#0,,F-C,01/13/97,6-10 / 2.08,242 lbs. / 109.8 kg.,$79568,USA,2016,1,Marquette
Devonte Graham,69,#0,Charlotte Hornets,G,02/22/95,6-1 / 1.85,185 lbs. / 83.9 kg.,$1416852,USA,2018,2,Kansas
Amile Jefferson,69,#0,,F-C,05/07/93,6-9 / 2.06,224 lbs. / 101.6 kg.,$1529007,USA,2017,Undrafted,Duke
Khyri Thomas,69,#13,Detroit Pistons,G,05/08/96,6-3 / 1.91,210 lbs. / 95.3 kg.,$1416852,USA,2018,2,Creighton
Theo Pinson,69,#0,New York Knicks,G,11/05/95,6-5 / 1.96,220 lbs. / 99.8 kg.,$1445697,USA,2018,Undrafted,North Carolina
Gary Clark,69,#0,Orlando Magic,F,11/16/94,6-6 / 1.98,225 lbs. / 102.1 kg.,$1427191,USA,2018,Undrafted,Cincinnati
Terance Mann,69,#14,Los Angeles Clippers,G,10/18/96,6-5 / 1.96,215 lbs. / 97.5 kg.,$1000000,USA,2019,2,Florida State
Cam Reynolds,69,#13,Milwaukee Bucks,G,02/07/95,6-7 / 2.01,225 lbs. / 102.1 kg.,$79568,USA,2018,Undrafted,Tulane
Tyrone Wallace,69,#0,,G-F,06/10/94,6-5 / 1.96,200 lbs. / 90.7 kg.,$502491,USA,2016,2,California
Miye Oni,69,#24,Utah Jazz,F,08/04/97,6-5 / 1.96,210 lbs. / 95.3 kg.,$898310,USA,2019,2,Yale
Malcolm Miller,69,#13,Toronto Raptors,F,03/06/93,6-7 / 2.01,205 lbs. / 93 kg.,$1588231,USA,2015,Undrafted,Holy Cross
Isaac Bonga,68,#17,Washington Wizards,G,11/08/99,6-8 / 2.03,200 lbs. / 90.7 kg.,$1416852,Germany,2018,2,
Isaiah Hartenstein,68,#0,,F-C,05/05/98,7-0 / 2.13,250 lbs. / 113.4 kg.,$1416852,Germany,2017,2,
Jordan McRae,68,#0,Detroit Pistons,G,03/28/91,6-5 / 1.96,179 lbs. / 81.2 kg.,$1254933,USA,2014,2,Tennessee
Brandon Goodwin,68,#0,Atlanta Hawks,G,10/02/95,6-0 / 1.83,180 lbs. / 81.6 kg.,$522738,USA,2018,Undrafted,Florida Gulf Coast
Michael Frazier,68,#21,Houston Rockets,G,03/08/94,6-3 / 1.91,200 lbs. / 90.7 kg.,$79568,USA,2015,2,Florida
Kostas Antetokounmpo,68,#37,Los Angeles Lakers,F,11/20/97,6-10 / 2.08,200 lbs. / 90.7 kg.,$79568,Greece,2018,Undrafted,Dayton
Jalen Lecque,68,#0,Phoenix Suns,G,06/13/00,6-3 / 1.91,190 lbs. / 86.2 kg.,$898310,USA,2019,Undrafted,
Duncan Robinson,67,#55,Miami Heat,F,04/22/94,6-7 / 2.01,215 lbs. / 97.5 kg.,$1416852,USA,2018,Undrafted,Michigan
